"Age" "Set" "CNT"
"1" 18 "Set1" 4371
"2" 19 "Set1" 4495
"3" 20 "Set1" 4683
"4" 21 "Set1" 4995
"5" 22 "Set1" 4995
"6" 23 "Set1" 5057
"7" 24 "Set1" 5120
"8" 25 "Set1" 5120
"9" 26 "Set1" 5120
"10" 27 "Set1" 5120
"11" 28 "Set1" 5307
"12" 29 "Set1" 5370
"13" 30 "Set1" 5120
"14" 31 "Set1" 4933
"15" 32 "Set1" 4870
"16" 33 "Set1" 4683
"17" 34 "Set1" 4371
"18" 35 "Set1" 4371
"19" 36 "Set1" 4183
"20" 37 "Set1" 4246
"21" 38 "Set1" 4308
"22" 39 "Set1" 4371
"23" 40 "Set1" 3996
"24" 41 "Set1" 3934
"25" 42 "Set1" 3871
"26" 43 "Set1" 3809
"27" 44 "Set1" 3746
"28" 45 "Set1" 3746
"29" 46 "Set1" 3434
"30" 47 "Set1" 3309
"31" 48 "Set1" 3184
"32" 49 "Set1" 2935
"33" 50 "Set1" 2622
"34" 51 "Set1" 2060
"35" 52 "Set1" 1311
"36" 53 "Set1" 937
"37" 54 "Set1" 687
"38" 55 "Set1" 562
"39" 56 "Set1" 312
"40" 57 "Set1" 250
"41" 58 "Set1" 250
"42" 59 "Set1" 187
"43" 60 "Set1" 125
"44" 18 "Set2" 9059
"45" 19 "Set2" 12079
"46" 20 "Set2" 12833
"47" 21 "Set2" 13588
"48" 22 "Set2" 15853
"49" 23 "Set2" 20382
"50" 24 "Set2" 23402
"51" 25 "Set2" 25667
"52" 26 "Set2" 30196
"53" 27 "Set2" 33971
"54" 28 "Set2" 36236
"55" 29 "Set2" 40010
"56" 30 "Set2" 43785
"57" 31 "Set2" 49069
"58" 32 "Set2" 51334
"59" 33 "Set2" 52089
"60" 34 "Set2" 52843
"61" 35 "Set2" 52843
"62" 36 "Set2" 55863
"63" 37 "Set2" 56618
"64" 38 "Set2" 58883
"65" 39 "Set2" 60393
"66" 40 "Set2" 58128
"67" 41 "Set2" 56618
"68" 42 "Set2" 54353
"69" 43 "Set2" 52089
"70" 44 "Set2" 49824
"71" 45 "Set2" 47559
"72" 46 "Set2" 43030
"73" 47 "Set2" 40765
"74" 48 "Set2" 37745
"75" 49 "Set2" 34726
"76" 50 "Set2" 30196
"77" 51 "Set2" 28686
"78" 52 "Set2" 28686
"79" 53 "Set2" 24157
"80" 54 "Set2" 21892
"81" 55 "Set2" 18118
"82" 56 "Set2" 16608
"83" 57 "Set2" 15098
"84" 58 "Set2" 11324
"85" 59 "Set2" 9059
"86" 60 "Set2" 5284
"87" 18 "Set3" 796
"88" 19 "Set3" 1194
"89" 20 "Set3" 1991
"90" 21 "Set3" 1991
"91" 22 "Set3" 2389
"92" 23 "Set3" 3185
"93" 24 "Set3" 3185
"94" 25 "Set3" 3981
"95" 26 "Set3" 3981
"96" 27 "Set3" 3981
"97" 28 "Set3" 3981
"98" 29 "Set3" 4379
"99" 30 "Set3" 4379
"100" 31 "Set3" 4778
"101" 32 "Set3" 4778
"102" 33 "Set3" 5574
"103" 34 "Set3" 5972
"104" 35 "Set3" 6370
"105" 36 "Set3" 7963
"106" 37 "Set3" 10749
"107" 38 "Set3" 13934
"108" 39 "Set3" 16721
"109" 40 "Set3" 22693
"110" 41 "Set3" 23091
"111" 42 "Set3" 23888
"112" 43 "Set3" 25480
"113" 44 "Set3" 26276
"114" 45 "Set3" 27471
"115" 46 "Set3" 28665
"116" 47 "Set3" 29859
"117" 48 "Set3" 30656
"118" 49 "Set3" 31850
"119" 50 "Set3" 32248
"120" 51 "Set3" 32646
"121" 52 "Set3" 33443
"122" 53 "Set3" 34239
"123" 54 "Set3" 34239
"124" 55 "Set3" 34239
"125" 56 "Set3" 34637
"126" 57 "Set3" 34637
"127" 58 "Set3" 35035
"128" 59 "Set3" 35831
"129" 60 "Set3" 36628
"130" 18 "Set4" 19331
"131" 19 "Set4" 21264
"132" 20 "Set4" 24163
"133" 21 "Set4" 25130
"134" 22 "Set4" 26097
"135" 23 "Set4" 26097
"136" 24 "Set4" 27063
"137" 25 "Set4" 37695
"138" 26 "Set4" 28996
"139" 27 "Set4" 30929
"140" 28 "Set4" 31896
"141" 29 "Set4" 31896
"142" 30 "Set4" 34795
"143" 31 "Set4" 35762
"144" 32 "Set4" 36728
"145" 33 "Set4" 37695
"146" 34 "Set4" 37695
"147" 35 "Set4" 42528
"148" 36 "Set4" 43494
"149" 37 "Set4" 44461
"150" 38 "Set4" 45427
"151" 39 "Set4" 46394
"152" 40 "Set4" 48327
"153" 41 "Set4" 49294
"154" 42 "Set4" 49294
"155" 43 "Set4" 50260
"156" 44 "Set4" 54126
"157" 45 "Set4" 57992
"158" 46 "Set4" 60892
"159" 47 "Set4" 62825
"160" 48 "Set4" 65725
"161" 49 "Set4" 66691
"162" 50 "Set4" 67658
"163" 51 "Set4" 68624
"164" 52 "Set4" 70557
"165" 53 "Set4" 71524
"166" 54 "Set4" 72490
"167" 55 "Set4" 72490
"168" 56 "Set4" 75390
"169" 57 "Set4" 77323
"170" 58 "Set4" 78290
"171" 59 "Set4" 77323
"172" 60 "Set4" 73457
